keyword,occurrence,total_link_strength,cluster
"abattoirs",5,28,6
"accelerometer",10,56,3
"acidosis",5,35,3
"adaptation",18,73,2
"adult",16,87,3
"age factors",5,39,4
"agriculture",107,542,2
"agriculture/methods",37,192,2
"agriculture/statistics & numerical data",5,29,2
"agroecology",6,24,2
"ai",53,235,1
"air pollutants/analysis",11,91,6
"air pollutants/metabolism",6,61,4
"air pollution, indoor/analysis",6,56,6
"air quality",8,45,6
"air velocity",5,15,6
"algorithms",27,128,1
"amino acids",10,28,4
"amino acids/metabolism",5,31,4
"ammonia",20,99,6
"ammonia/analysis",9,85,6
"anaerobic digestion",9,16,2
"animal behavior",7,18,1
"animal behaviour",9,30,1
"animal distribution",8,44,2
"animal feed",30,223,4
"animal feed/analysis",96,749,4
"animal health",8,30,2
"animal husbandry",35,242,1
"animal husbandry/economics",8,51,2
"animal husbandry/instrumentation",10,68,3
"animal husbandry/methods",102,665,6
"animal monitoring",6,17,1
"animal nutritional physiological phenomena",58,485,4
"animal nutritional physiological phenomena/drug effects",7,54,4
"animal production",7,20,1
"animal welfare",127,592,1
"animal welfare/standards",6,40,6
"animals",890,5223,3
"animals, newborn",5,23,5
"animals, wild",11,54,2
"anti-bacterial agents/pharmacology",9,28,3
"antimicrobial resistance",6,29,3
"antioxidants",6,35,6
"antioxidants/metabolism",5,45,4
"antioxidants/pharmacology",5,16,3
"apoptosis",8,25,6
"aquaculture",17,49,5
"attitude",7,32,1
"australia",14,87,6
"automatic milking system",8,43,3
"automation",12,55,3
"avian influenza",6,38,1
"avian proteins/metabolism",10,54,6
"bacteria/genetics",6,26,2
"bayes theorem",10,63,3
"beef",11,43,1
"beef cattle",35,134,4
"behavior",27,150,3
"behavior recognition",5,6,1
"behavior, animal",21,152,3
"behavior, animal/physiology",7,47,3
"behaviour",11,35,6
"bibliometric analysis",9,26,1
"bibliometrics",9,42,1
"big data",15,66,1
"biodegradation, environmental",5,17,2
"biodiversity",39,198,2
"bioenergy",6,7,2
"biofuels",7,24,2
"biogas",10,13,2
"bioinformatics",7,39,5
"biomarkers",18,87,3
"biomarkers/metabolism",6,33,3
"biomass",15,58,2
"bioremediation",5,10,2
"biosecurity",5,20,1
"biosensors",7,32,1
"biotechnology",7,15,5
"birds",8,33,1
"body composition",6,50,4
"body temperature",9,40,6
"body weight",24,173,4
"bos taurus",5,22,6
"bovine",11,36,3
"brazil",15,83,2
"breeding",49,308,5
"breeding/methods",15,94,5
"broiler",34,163,6
"broiler chicken",10,32,4
"broilers",7,31,4
"buffalo",7,22,1
"buffaloes",6,48,1
"calcium",5,21,3
"carbon dioxide",8,45,6
"carbon dioxide/analysis",10,83,6
"carbon sequestration",5,24,2
"carbon/analysis",7,38,2
"cattle",270,1618,3
"cattle diseases",8,62,3
"cattle diseases/diagnosis",20,147,3
"cattle diseases/epidemiology",11,75,3
"cattle diseases/metabolism",5,45,3
"cattle/genetics",43,312,5
"cattle/growth & development",6,54,4
"cattle/metabolism",15,137,4
"cattle/physiology",68,524,3
"cell line",5,17,3
"cheese",6,28,3
"cheese/analysis",5,21,3
"chick embryo",5,32,6
"chicken",6,12,6
"chickens",62,356,6
"chickens/genetics",15,76,5
"chickens/growth & development",11,75,4
"chickens/physiology",49,327,6
"china",29,125,2
"circular economy",19,54,4
"cities",5,21,2
"climate",17,93,2
"climate resilience",100,449,2
"cloud computing",5,14,1
"cluster analysis",7,46,2
"cold stress",8,17,6
"colombia",6,25,2
"computer simulation",8,48,2
"computer vision",22,81,1
"conservation",13,38,2
"conservation of natural resources",62,320,2
"conservation of natural resources/methods",19,109,2
"consumer behavior",7,40,3
"covid-",9,13,2
"cow",8,44,3
"cow behavior",5,18,1
"crops, agricultural",8,43,2
"crops, agricultural/growth & development",20,94,2
"cross-sectional studies",7,42,3
"dairy",20,93,1
"dairy cattle",62,257,5
"dairy cow",61,359,3
"dairy cows",34,104,3
"dairy farming",9,25,1
"dairy sheep",5,28,1
"dairying",53,420,3
"dairying/economics",15,119,3
"dairying/instrumentation",6,42,3
"dairying/methods",59,448,3
"data integration",7,17,1
"data management",6,22,2
"data mining",10,40,1
"databases, factual",6,14,2
"decision making",11,72,2
"decision tree",5,15,1
"deep learning",51,139,1
"deforestation",5,11,2
"developing countries",7,28,2
"development",5,19,2
"diagnosis",8,36,3
"diet",12,80,4
"diet/veterinary",101,886,4
"dietary supplements",18,149,4
"dietary supplements/analysis",20,177,4
"digestibility",6,47,4
"digestion",18,165,4
"digestion/drug effects",9,83,4
"digital livestock transformation",21,59,1
"disease",7,25,2
"disease outbreaks",5,18,2
"disease outbreaks/prevention & control",5,21,1
"disease outbreaks/veterinary",10,52,1
"disease resistance",6,29,5
"disease resistance/genetics",5,28,5
"diversity",6,18,2
"dose-response relationship, drug",5,46,4
"drinking water",5,20,2
"dry matter intake",6,51,5
"eating",27,251,4
"eating/genetics",6,52,5
"eating/physiology",5,30,4
"ecology",6,31,2
"economic development",7,29,2
"economics",5,21,2
"ecosystem",86,441,2
"ecosystem services",7,45,2
"education",5,32,1
"efficiency",10,51,2
"egg production",5,33,6
"eggs",6,37,6
"emission",6,24,6
"emissions",6,26,6
"energy consumption",5,11,2
"energy efficiency",7,12,2
"energy metabolism",15,118,4
"enteric methane",5,49,4
"environment",49,331,2
"environmental impact",18,70,2
"environmental monitoring",30,144,2
"environmental monitoring/methods",34,212,2
"environmental pollution/prevention & control",5,32,2
