keyword_a,keyword_b,weight
"air velocity","livestock",1
"air velocity","poultry",1
"livestock","poultry",2
"animal feed","animals",28
"animal feed","cattle/metabolism",3
"animal feed","fatty acids/analysis",3
"animal feed","lactation/physiology",2
"animal feed","milk/chemistry",4
"animal feed","taste",1
"animals","cattle/metabolism",15
"animals","fatty acids/analysis",5
"animals","lactation/physiology",27
"animals","milk/chemistry",41
"animals","taste",5
"cattle/metabolism","fatty acids/analysis",2
"cattle/metabolism","lactation/physiology",5
"cattle/metabolism","milk/chemistry",3
"cattle/metabolism","taste",1
"fatty acids/analysis","lactation/physiology",1
"fatty acids/analysis","milk/chemistry",3
"fatty acids/analysis","taste",1
"lactation/physiology","milk/chemistry",5
"lactation/physiology","taste",1
"milk/chemistry","taste",1
"algorithms","animals",16
"algorithms","cattle",6
"algorithms","dairy cow",1
"algorithms","lactation",1
"algorithms","logistic models",1
"algorithms","machine learning",10
"algorithms","milk",1
"algorithms","random forest",2
"algorithms","resilience",1
"algorithms","sensors",2
"animals","cattle",235
"animals","dairy cow",36
"animals","lactation",75
"animals","logistic models",7
"animals","machine learning",50
"animals","milk",51
"animals","random forest",7
"animals","resilience",14
"animals","sensors",5
"cattle","dairy cow",20
"cattle","lactation",47
"cattle","logistic models",3
"cattle","machine learning",20
"cattle","milk",32
"cattle","random forest",3
"cattle","resilience",3
"cattle","sensors",2
"dairy cow","lactation",17
"dairy cow","logistic models",1
"dairy cow","machine learning",3
"dairy cow","milk",6
"dairy cow","random forest",1
"dairy cow","resilience",2
"dairy cow","sensors",2
"lactation","logistic models",2
"lactation","machine learning",6
"lactation","milk",21
"lactation","random forest",2
"lactation","resilience",6
"lactation","sensors",1
"logistic models","machine learning",1
"logistic models","milk",2
"logistic models","random forest",1
"logistic models","resilience",1
"logistic models","sensors",1
"machine learning","milk",5
"machine learning","random forest",9
"machine learning","resilience",1
"machine learning","sensors",4
"milk","random forest",2
"milk","resilience",4
"milk","sensors",1
"random forest","resilience",2
"random forest","sensors",1
"resilience","sensors",2
"animals","population density",6
"animals","rural population",2
"animals","wood",2
"population density","rural population",1
"population density","wood",1
"rural population","wood",1
"plf","poultry",7
"ecosystem","environmental monitoring",7
"ecosystem","grassland",9
"ecosystem","india",1
"ecosystem","ndvi",2
"ecosystem","remote sensing technology",5
"environmental monitoring","grassland",2
"environmental monitoring","india",1
"environmental monitoring","ndvi",1
"environmental monitoring","remote sensing technology",1
"grassland","india",1
"grassland","ndvi",1
"grassland","remote sensing technology",3
"india","ndvi",1
"india","remote sensing technology",1
"ndvi","remote sensing technology",1
"animals","behavior",12
"animals","behavior, animal",21
"animals","cattle diseases/diagnosis",20
"animals","lameness",7
"animals","lameness, animal/diagnosis",9
"animals","time factors",28
"behavior","behavior, animal",5
"behavior","cattle",6
"behavior","cattle diseases/diagnosis",1
"behavior","dairy cow",3
"behavior","lameness",2
"behavior","lameness, animal/diagnosis",1
"behavior","time factors",2
"behavior, animal","cattle",9
"behavior, animal","cattle diseases/diagnosis",2
"behavior, animal","dairy cow",5
"behavior, animal","lameness",2
"behavior, animal","lameness, animal/diagnosis",2
"behavior, animal","time factors",2
"cattle","cattle diseases/diagnosis",17
"cattle","lameness",7
"cattle","lameness, animal/diagnosis",8
"cattle","time factors",8
"cattle diseases/diagnosis","dairy cow",3
"cattle diseases/diagnosis","lameness",4
"cattle diseases/diagnosis","lameness, animal/diagnosis",9
"cattle diseases/diagnosis","time factors",2
"dairy cow","lameness",4
"dairy cow","lameness, animal/diagnosis",1
"dairy cow","time factors",3
"lameness","lameness, animal/diagnosis",4
"lameness","time factors",1
"lameness, animal/diagnosis","time factors",1
"animals","dairying",51
"animals","escherichia coli",3
"animals","genetic selection",3
"animals","mastitis",7
"animals","milk/microbiology",9
"animals","somatic cell count",3
"cattle","dairying",27
"cattle","escherichia coli",1
"cattle","genetic selection",2
"cattle","mastitis",5
"cattle","milk/microbiology",8
"cattle","somatic cell count",1
"dairying","escherichia coli",1
"dairying","genetic selection",1
"dairying","mastitis",2
"dairying","milk/microbiology",5
"dairying","somatic cell count",3
"escherichia coli","genetic selection",1
"escherichia coli","mastitis",1
"escherichia coli","milk/microbiology",1
"escherichia coli","somatic cell count",1
"genetic selection","mastitis",1
"genetic selection","milk/microbiology",1
"genetic selection","somatic cell count",1
"mastitis","milk/microbiology",2
"mastitis","somatic cell count",1
"milk/microbiology","somatic cell count",2
"dairy cow","environmental sustainability",1
"air pollutants/metabolism","animals",5
"air pollutants/metabolism","cattle/metabolism",2
"air pollutants/metabolism","dairying/methods",2
"air pollutants/metabolism","environmental monitoring/methods",4
"air pollutants/metabolism","methane",5
"air pollutants/metabolism","methane/metabolism",6
"air pollutants/metabolism","ruminants",2
"animals","dairying/methods",58
"animals","environmental monitoring/methods",12
"animals","methane",31
"animals","methane/metabolism",26
"animals","ruminants",19
"cattle/metabolism","dairying/methods",4
"cattle/metabolism","environmental monitoring/methods",2
"cattle/metabolism","methane",5
"cattle/metabolism","methane/metabolism",5
"cattle/metabolism","ruminants",1
"dairying/methods","environmental monitoring/methods",1
"dairying/methods","methane",3
"dairying/methods","methane/metabolism",3
"dairying/methods","ruminants",1
"environmental monitoring/methods","methane",4
"environmental monitoring/methods","methane/metabolism",4
"environmental monitoring/methods","ruminants",1
"methane","methane/metabolism",13
"methane","ruminants",1
"methane/metabolism","ruminants",2
"animals","cattle diseases/metabolism",5
