Journal,Documents,h_index_dataset
Animals : an open access journal from MDPI,605,49
PloS one,215,42
Poultry science,159,24
Journal of dairy science,137,41
Journal of animal science,136,20
Animal : an international journal of animal bioscience,92,44
International journal of molecular sciences,85,22
Energies,79,30
IEEE Access,43,29
Computers and Electronics in Agriculture,36,14
Biology,36,13
Journal of animal science and biotechnology,33,13
PeerJ,31,12
Veterinary world,30,6
Environmental monitoring and assessment,30,10
Journal of Cleaner Production,29,22
Scientific data,26,5
Animal Production Science,24,14
BMC veterinary research,23,8
Environmental Research Letters,22,15
Tropical animal health and production,22,6
Agricultural Systems,22,19
"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",19,16
"Agriculture, Ecosystems & Environment",18,16
Journal of agricultural and food chemistry,16,9
TheScientificWorldJournal,15,7
Biosystems Engineering,14,12
Veterinary research,14,7
The Journal of dairy research,14,11
"Genetics, selection, evolution : GSE",13,12
Global change biology,12,8
Precision Agriculture,12,11
Preventive veterinary medicine,11,9
Annals of Animal Science,11,9
Asian-Australasian journal of animal sciences,11,9
Rangeland Ecology & Management,10,8
Journal of Sustainable Development,10,3
Open veterinary journal,10,4
Ciência Rural,10,5
Italian Journal of Agronomy,8,6
Transboundary and emerging diseases,8,4
Irish Journal of Agricultural and Food Research,8,3
Animal reproduction,8,6
Pesquisa Agropecuária Brasileira,7,4
South African Journal of Animal Science,7,4
IMF Staff Country Reports,7,1
Journal of Applied Poultry Research,7,5
The Indian Journal of Animal Sciences,7,4
The Open Agriculture Journal,7,6
Journal of Agricultural and Environmental Ethics,7,6
International Journal of Agricultural and Biological Engineering,7,4
Open life sciences,6,3
CABI Reviews,6,3
Applied Animal Behaviour Science,6,5
Proceedings. Biological sciences,6,6
Polish Journal of Environmental Studies,6,4
Japan Agricultural Research Quarterly: JARQ,6,3
Acta fytotechnica et zootechnica,6,1
Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,6,3
Bioscience,6,4
Nutrient Cycling in Agroecosystems,6,5
Livestock Science,6,5
Mountain Research and Development,6,4
Emirates Journal of Food and Agriculture,6,3
Italian Journal of Animal Science,6,3
Czech Journal of Animal Science,5,4
Parasitology,5,4
Current Opinion in Environmental Sustainability,5,5
The Journal of reproduction and development,5,4
Semina: Ciências Agrárias,5,3
The International Journal of Life Cycle Assessment,5,3
Journal of Animal Behaviour and Biometeorology,5,3
Ecological Informatics,5,4
Journal of animal breeding and genetics = Zeitschrift fur Tierzuchtung und Zuchtungsbiologie,5,2
Irish veterinary journal,5,3
NJAS: Wageningen Journal of Life Sciences,5,5
Revista Brasileira de Zootecnia,4,4
The Veterinary record,4,2
Journal of animal physiology and animal nutrition,4,3
The Journal of Agricultural Science,4,3
The veterinary quarterly,4,3
Veterinary research communications,4,1
Environment international,4,4
"Veterinary journal (London, England : 1997)",4,3
E3S Web of Conferences,4,1
