Title,Author/s,Publication Year,Citing Works Count
"Livestock production: recent trends, future prospects",Philip K. Thornton,2010,1859
"Invited review: Body condition score and its association with dairy cow productivity, health, and welfare",John R Roche; Nicolas Friggens; Jane K. Kay; Mark W. Fisher; Kevin J. Stafford; Donagh P. Berry,2009,1106
Machine Learning Applications for Precision Agriculture: A Comprehensive Review,Abhinav Sharma; Arpit Jain; Prateek Gupta; Vinay Chowdary,2021,898
Aquaculture: global status and trends,John Bostock; Brendan McAndrew; Randolph H. Richards; Kim Jauncey; Trevor C. Telfer; Kai Lorenzen; David C. Little; Lindsay G. Ross; Neil Handisyde; Iain Gatward; Richard A. Corner,2010,878
Invited review: Enteric methane in dairy cattle production: Quantifying the opportunities and impact of reducing emissions,J.R. Knapp; G.L. Laur; Peter A. Vadas; William P. Weiss; J.M. Tricarico,2014,870
Environmental impact of the production of mealworms as a protein source for humans - a life cycle assessment.,D.G.A.B. Oonincx; Imke J.M. de Boer,2012,804
Applications of big data to smart cities,Eiman Al Nuaimi; Hind Al Neyadi; Nader Mohamed; Jameela Al-Jaroodi,2015,795
Mapping the global distribution of livestock.,Timothy P. Robinson; G. R. William Wint; Giulia Conchedda; Thomas P. Van Boeckel; Valentina Ercoli; Elisa Palamara; Giuseppina Cinardi; Laura D'Aietti; Simon I. Hay; Marius Gilbert,2014,774
Ruminal acidosis in beef cattle: the current microbiological and nutritional outlook.,Tiruvoor G. Nagaraja; Evan C. Titgemeyer,2007,752
A Survey on the Role of IoT in Agriculture for the Implementation of Smart Farming,Muhammad Farooq; Shamyla Riaz; Adnan Abid; Kamran Abid; Muhammad Azhar Naeem,2019,747
"A review of social science on digital agriculture, smart farming and agriculture 4.0: New contributions and a future research agenda",Laurens Klerkx; Emma Jakku; Pierre Labarthe,2019,747
Evolution of design for sustainability: From product design to design for system innovations and transitions,Fabrizio Ceschin; İdil Gaziulusoy,2016,722
